Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT,AAPL,MSFT
Date,,,,,,,,,,
2025-01-17,229.16647338867188,426.6854248046875,231.4682996512766,432.1056536473427,227.67177943063626,425.83013912279745,231.2989028272768,431.7177703608077,68488300,26197500
2025-01-21,221.85243225097656,426.1583251953125,223.62613445935494,428.54520356031776,218.6039696546368,423.2741792396476,223.20762199269615,427.8490471438773,98070400,26085700
2025-01-22,223.03822326660156,443.7616271972656,223.32719072748344,444.8257568157961,219.0125058897086,433.6173558153904,219.0125058897086,435.1688283301516,64126500,27803800
2025-01-23,222.8688507080078,444.2687683105469,226.2269251350915,444.3085582129765,221.51366083038826,439.08724891108926,223.94503224654224,439.58451646364995,60234800,18389300
2025-01-24,221.991943359375,441.63330078125,224.831867935065,444.20914332055247,220.6267944226493,438.987833493392,223.9848686181573,442.7272955771019,54697900,15549500
2025-01-27,229.04689025878906,432.1851806640625,231.32878288695173,432.82169771122886,223.18768539696657,421.185624630697,223.22755241503756,421.6928472557325,94863400,35647800
2025-01-28,237.4171905517578,444.7561340332031,239.3403714135585,445.9296782334323,229.99354669273774,429.02258057650255,230.03341371427896,432.22498499378844,75707600,23491700
2025-01-29,238.5133056640625,439.9126892089844,239.01153699982427,444.4378420399145,233.1822242894862,437.9932437860414,233.2918357915463,444.24887794638107,45486100,23581400
2025-01-30,236.74954223632812,412.7221374511719,239.93821947161274,420.5491243253889,236.37089679279623,410.9021514578089,237.825723654139,416.4814791520961,55658300,54586300
2025-01-31,235.16519165039062,412.7917785644531,246.31561143302469,418.39101660852566,232.61424963135997,412.64260435429605,246.31561143302469,416.69036991112364,100959800,34161900
2025-02-03,227.2034454345703,408.67437744140625,231.00994009075862,413.1398303368367,224.90161912474946,406.4267183987767,229.1764524471141,409.3506540265293,73063300,25679100
2025-02-04,231.97650146484375,410.116455078125,232.3053359547129,411.65800277159144,225.84824721606736,407.5008227766752,226.44613087124998,410.43471361041793,45067300,20532100
2025-02-05,231.64767456054688,411.0314636230469,231.84696405052938,411.5684907814938,227.46253445166022,408.1572423104593,227.72160926815613,410.0965981017129,39620300,16316700
2025-02-06,232.39501953125,413.547607421875,232.9729696905443,415.914605901032,229.61488023403817,411.73754619066034,230.47183871784506,411.73754619066034,29925300,16309800
2025-02-07,226.8247833251953,407.5107727050781,233.1722451327125,416.36212936115334,226.4560818290891,405.86979579790295,231.77720359418535,414.2040051086223,39707200,22886800
2025-02-10,227.0941162109375,409.96728515625,230.02693972945139,413.1895693646485,226.64521806905947,408.6744015876666,229.0094413336025,411.44913283343,33115600,20817900
2025-02-11,232.052001953125,409.1915283203125,234.6556296697615,410.2357780460881,227.57297502290857,407.06320861531077,227.64279618723114,407.4013772616106,53718400,18140600
2025-02-12,236.29161071777344,406.8046569824219,236.38140252594314,408.5053035519359,230.11672290007743,402.1601645834243,230.63545743654387,404.98464070295296,45243300,19121700
2025-02-13,240.94024658203125,408.2964782714844,241.74826634141837,408.75395595267076,234.99480784534867,404.1392981832616,236.33153226758247,404.7758152621338,53614100,23891700
2025-02-14,244.00274658203125,406.1979675292969,244.9504238462646,406.6753553081934,240.40156080072015,403.66191514014076,240.66092045804314,405.5614808415711,40896200,22758500
2025-02-18,243.87306213378906,407.4013977050781,244.58131995427482,408.3561429609082,241.2494791133952,404.2785427328027,243.55383619329416,405.7703454735141,48822500,21423100
2025-02-19,244.27207946777344,412.50335693359375,245.40929524371262,413.2194234967571,242.56626341463,405.4222711149816,244.06260076305156,405.6510251389108,32204200,24114200
2025-02-20,245.229736328125,414.6857604980469,246.1774135823035,417.8547165109783,243.69348816231408,411.10822380495836,244.34191013103748,413.84867949906476,32316900,23508700
2025-02-21,244.95042419433594,406.793212890625,248.08275639920348,416.59905745325864,244.6212281548445,406.4743466307379,245.34944139409683,415.8915301727366,53197400,27524800
2025-02-24,246.49664306640625,402.59783935546875,248.25234005966587,407.9491968592537,243.82317911276243,397.93408950529806,244.3319283268952,407.09219625426255,51326400,26443700
2025-02-25,246.43678283691406,396.5190124511719,249.38956194785018,400.52507980230723,244.3119941197594,395.3231955078189,247.3944454522674,399.7079184567694,48013300,29387400
2025-02-26,239.77308654785156,398.3426818847656,244.3818005030484,402.19924554396545,238.5460942392985,392.88169018272754,243.7333937698084,396.6286502127144,44433600,19619000
2025-02-27,236.72056579589844,391.1676330566406,241.86796980219768,404.33177619538384,236.48114634623442,390.80889711711075,238.82541422357912,399.87728914292836,41153600,21127400
2025-02-28,241.24948120117188,395.6121520996094,241.49887076126774,396.24994544118493,229.63790389196947,385.2283339547379,236.37142201455794,391.29719366600983,56833400,32845700
2025-03-03,237.4487762451172,387.14166259765625,243.43412542285543,397.4358274187669,235.53346633482454,384.8197626823639,241.19958958341564,397.4358274187669,47184000,23007700
2025-03-04,235.35391235351562,387.26123046875,239.4838181516717,391.21745294280987,234.10696453181083,379.67765721488945,237.1295800554318,382.06932141422595,53798100,29342900
2025-03-05,235.1643829345703,399.628173828125,235.97240266650644,400.27594221038044,228.67026910680244,387.4605594414927,234.84515699420854,387.9887187604894,47227600,23433100
2025-03-06,234.75538635253906,395.5125427246094,237.27920752401755,400.7542663515353,232.59068676229822,391.3171323240562,233.86756011302523,392.91158534383527,45170400,23304600
2025-03-07,238.4862518310547,391.9449462890625,240.78062356819368,393.42976525122566,234.1867631010968,384.20192438386283,234.53591456798168,390.9583919892802,46273600,22034100
2025-03-10,226.92454528808594,378.840576171875,235.583358769024,385.05890917094194,223.6725108894593,375.9107776446238,234.96486230654432,384.50085520495696,72071200,32840100
2025-03-11,220.30076599121094,379.1296081542969,225.2885573705892,384.6603339518935,216.91904404485373,375.6018856955347,223.26351528828414,377.6846284139058,76137400,30380200
2025-03-12,216.45018005371094,381.9397888183594,221.20853706339403,383.883033194115,214.38524243690583,377.634805186652,219.60246770742089,381.62092254273574,62547500,24253600
2025-03-13,209.1680145263672,377.45538330078125,216.31053552178076,383.9826683121219,207.9110965632093,376.139987768004,215.4227092543014,381.8301614244045,61368300,20473000
2025-03-14,212.96871948242188,387.21142578125,213.42758776028128,388.87564310802037,209.06826301296118,378.19284770158055,210.7341834889886,378.46189966674945,60107600,19952800
2025-03-17,213.4774627685547,387.3509521484375,214.69448503570536,391.3470139725856,209.4573042902151,384.23181056492524,212.78914514941675,385.35789354291256,48073400,22474300
2025-03-18,212.170654296875,382.1889343261719,214.62463892519543,386.02557849597406,210.97358751075308,379.7773502731509,213.63706605687162,385.72663184862864,42432400,19486900
2025-03-19,214.7144317626953,386.4739990234375,218.22582565599035,388.3275289171194,213.22806456968678,382.66724981244226,213.6969181399133,384.1919384194473,54385400,19185500
2025-03-20,213.5772247314453,385.4974060058594,216.9589465476154,390.4302384005767,211.70181037410745,381.9497639905121,213.46749271646212,384.40121765018193,48862900,18470500
2025-03-21,217.73703002929688,389.9020690917969,218.30563028145062,390.38038369901005,210.764092813104,381.47140919973003,211.04340788811464,381.8899648927027,94127800,39675900
2025-03-24,220.19102478027344,391.7157287597656,220.93919345594836,394.02768406346627,218.04628066528426,388.45708885622673,220.460369765545,394.02768406346627,44299500,21004500
2025-03-25,223.2036590576172,393.7885437011719,223.55281053469957,394.98436068056907,219.54262209652958,391.2773006739415,220.23093972638688,392.552857032296,34493600,15775000
2025-03-26,220.9890594482422,388.6165466308594,224.47054292972726,393.93800963918454,219.93165022699972,387.2214116418782,222.96422035625233,393.6290879777552,34466100,16108400
2025-03-27,223.30340576171875,389.2243957519531,224.4406214835582,390.87863801869304,220.0214308095873,386.05543991632794,220.84940592957574,388.7759758195498,37094800,13766800
2025-03-28,217.36793518066406,377.48529052734375,223.26350805320467,387.77945533191945,217.1484711493609,375.6217855831935,221.12873402087155,386.7330813092454,39818600,21632000
2025-03-31,221.58761596679688,374.087158203125,225.06908447075043,375.761320171641,215.7020132379398,365.96541986866765,216.48010744476517,371.2470435423123,65299300,35184700
2025-04-01,222.64501953125,380.863525390625,223.13381331282267,381.52123836039385,218.36548628233527,371.93463161723514,219.27326790744206,373.34968615477356,36412700,19689500
2025-04-02,223.3433074951172,380.813720703125,224.6401362151353,383.74348886180815,220.4803202973195,375.3128595122782,220.77959080525144,376.6581801475031,35905900,16092600
2025-04-03,202.69386291503906,371.8150329589844,206.9833664271943,376.16989155085776,200.75859747782033,368.06810346654436,205.03811566571247,373.4892252977989,103419000,30198000
2025-04-04,187.92002868652344,358.5910949707031,199.39194860307396,373.28990195338014,186.88255957870848,358.2323590249941,193.4165691841804,362.86621412703136,125910900,49209900
2025-04-07,181.0169219970703,356.61798095703125,193.6759230716255,369.7123913004176,174.19361217758157,343.5933653790687,176.76731422169505,349.66222551139305,160466300,50425000
2025-04-08,171.99899291992188,353.3294372558594,189.87523506652792,372.35317854006513,168.79683943762106,349.0343982710952,186.244123618335,366.98190125867967,120859500,35868900
2025-04-09,198.3644561767578,389.1347351074219,200.1201531468693,391.8652461990382,171.47028013366514,351.8745186247924,171.53013119082922,352.3129939705509,184395900,50199700
2025-04-10,189.95504760742188,380.0264587402344,194.30440235729913,382.56759631800514,182.55316692796467,366.5234683324548,188.6083530498886,380.7339860356081,121880000,38024400
2025-04-11,197.66615295410156,387.101806640625,199.05275825525484,388.6962291414208,185.60567786476867,377.57498926356885,185.64558871717136,379.3189154840166,87435900,23839200
